Time,BPM,Temp,Humidity,Emotion,Movement,Voice,Stress,Suggestion
2026-05-07 16:43:11.710797,18.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:12.733544,18.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:13.451644,18.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:13.633234,18.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:13.821680,31.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:14.005878,31.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:14.604665,31.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:15.606299,49.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:15.775651,49.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:16.010041,49.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:16.184174,66.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:16.627856,66.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:16.834636,66.0,34.2,70.0,neutral,LOW,LOW,LOW,Stay calm and relax.
2026-05-07 16:43:17.138093,84.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:17.322954,84.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:17.499890,84.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:18.672349,84.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:18.960384,84.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:19.288171,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:19.595269,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:19.759709,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:19.943076,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:20.208583,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:20.617799,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:21.643736,77.0,34.2,70.0,neutral,HIGH,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:21.929157,77.0,34.2,70.0,neutral,HIGH,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:22.093813,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:22.359938,77.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:22.538102,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:22.712799,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:22.974181,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:23.280720,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:23.689490,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:24.714157,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:25.125653,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:25.292822,82.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:25.466906,75.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
2026-05-07 16:43:25.633674,75.0,34.2,70.0,neutral,LOW,LOW,MEDIUM,Stay calm and relax.
